fakeroot 1.37.2-1.1
fastfetch 2.58.0-1.1
fd 10.3.0-1.1
feishin-git 1.4.1.r4.gce9183f-1
ffmpeg 2:8.0.1-2.1
ffmpeg4.4 4.4.6-3.1
ffmpegthumbnailer 2.3.0-1.1
fftw 3.3.10-7.1
figlet 2.2.5-6.1
file 5.46-5.1
filesystem 2025.10.12-1
findutils 4.10.0-3.1
firebase-tools-bin 15.2.0-1
fish 4.3.3-1.1
fish-autopair 1.0.4-2
fish-pure-prompt 4.15.0-1
fisher 4.4.8-1
flac 1.5.0-1.2
flatpak 1:1.16.3-1.1
flex 2.6.4-5.1
fluidsynth 2.5.2-1.1
fmt 12.1.0-1.1
fontconfig 2:2.17.1-1.1
freeglut 3.8.0-1.1
freerdp 2:3.22.0-1.1
freetype2 2.14.1-1.1
fribidi 1.0.16-2.1
fsarchiver 0.8.8-1.1
ftgl 2.4.0-3.1
fuse-common 3.18.1-1.1
fuse2 2.9.9-5
fuse3 3.18.1-1.1
fzf 0.67.0-2.1
game-devices-udev 0.25-1
gamemode 1.8.2-1.1
gamescope 3.16.19-4
gawk 5.3.2-1.1
gc 8.2.10-2.1
gcc 15.2.1+r447+g6a64f6c3ebb8-2
gcc-libs 15.2.1+r447+g6a64f6c3ebb8-2
gcr 3.41.2-2.1
gcr-4 4.4.0.1-1.1
gd 2.3.3-9
gdbm 1.26-2.1
gdk-pixbuf2 2.44.4-1.1
gemini-cli 1:0.26.0-1.1
geocode-glib-2 3.26.4-4.2
geocode-glib-common 3.26.4-4.2
gettext 1.0-1.1
gexiv2 0.16.0-1.1
gflags 2.2.2-5.1
ghostscript 10.06.0-1.1
ghostty 1.2.3-2.1
ghostty-shell-integration 1.2.3-2.1
ghostty-terminfo 1.2.3-2.1
giflib 5.2.2-2.1
git 2.52.0-2.1
git-lfs 3.7.1-1.1
github-cli 2.86.0-1.1
gitkraken 11.8.0-1
glances 4.4.1-3
glew 2.3.1-1.1
glfw 1:3.4-1.1
glib-networking 1:2.80.1-1.1
glib2 2.86.3-2.1
glib2-docs 2.86.3-2.1
glibc 2.42+r51+gcbf39c26b258-3
glibmm-2.68 2.86.0-1.1
glm 1.0.3-1.1
glslang 1:1.4.335.0-1.1
glu 9.0.3-2.1
glycin 2.0.7-1.1
glycin-gtk4 2.0.7-1.1
gmp 6.3.0-2.1
gnome-autoar 0.4.5-1.1
gnome-desktop 1:44.4-1.1
gnome-desktop-4 1:44.4-1.1
gnome-desktop-common 1:44.4-1.1
gnome-disk-utility 46.1-2.1
gnome-keyring 1:48.0-1.1
gnulib-l10n 20241231-1
gnupg 2.4.9-1.1
gnutls 3.8.11-2
go 2:1.25.6-2
gobject-introspection 1.86.0-2.1
gobject-introspection-runtime 1.86.0-2.1
google-cloud-cli 553.0.0-1
google-glog 0.7.1-1.2
goverlay 1.7.1-1.1
gperftools 2.17.2-1.1
gpgme 2.0.1-1.1
gpgmepp 2.0.0-2.1
gpm 1.20.7.r38.ge82d1a6-6.1
gpu-screen-recorder r1287.57caf13-1
graphene 1.10.8-2.1
graphite 1:1.3.14-5
graphviz 14.1.1-2
grep 3.12-2.1
groff 1.23.0-7.1
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsfonts 20200910-6
gsm 1.0.23-1.1
gssdp 1.6.4-1.1
gssproxy 0.9.2-2.1
gst-libav 1.26.10-3
gst-plugin-pipewire 1:1.4.10-1.1
gst-plugin-va 1.26.10-3
gst-plugins-bad 1.26.10-3
gst-plugins-bad-libs 1.26.10-3
gst-plugins-base-libs 1.26.10-3
gst-plugins-good 1.26.10-3
gst-plugins-ugly 1.26.10-3
gstreamer 1.26.10-3
gtest 1.17.0-1.1
gtk-doc 1.35.1-1
gtk-layer-shell 0.10.0-1.1
gtk-update-icon-cache 1:4.20.3-1.1
gtk3 1:3.24.51-1.1
gtk4 1:4.20.3-1.1
gtk4-layer-shell 1.3.0-1.1
